Species,Diapause
Aeoloplides turnbulli,egg
Aeropedellus clavatus,egg
Ageneotettix deorum,egg
Amphitornus coloradus,egg
Arphia conspersa,nymph
Arphia pseudonietana,egg
Aulocara elliottii,egg
Camnula pellucida,egg
Chloealtis abdominalis,egg
Chloealtis conspersa,egg
Circotettix rabula,egg
Cratypledes neglectus,egg
Dissosteira carolina,egg
Eritettix simplex,nymph
Hesperotettix viridis,egg
Melanoplus bivittatus,egg
Melanoplus confusus,egg
Melanoplus dawsoni,egg
Melanoplus boulderensis,egg
Melanoplus sanguinipes,egg
Melanoplus bivatattus,egg
Melanoplus femurrubrum,egg
Melanoplus infantilis,egg
Melanoplus keelerii,egg
Melanoplus occidentalis,egg
Melanoplus packardii,egg
Mesobregma plateii,egg
Metator pardalinus,egg
Pardalaphoa apiculata,nymph
Spharagemon bolli,egg
Spharagemon collare,egg
Spharagemon equale,egg
Trachyrhachys kiowa,egg
Trimerotropis cincta,egg
Trimerotropis verruculata,egg
Trimerotropis pallidipennis,egg
Xanthippus corallipes,nymph
Melanoplus fasciatus,egg